date,trend_tariff,isPartial
2023-12-31,2,False
2024-01-07,3,False
2024-01-14,2,False
2024-01-21,3,False
2024-01-28,4,False
2024-02-04,4,False
2024-02-11,3,False
2024-02-18,3,False
2024-02-25,4,False
2024-03-03,3,False
2024-03-10,3,False
2024-03-17,3,False
2024-03-24,3,False
2024-03-31,3,False
2024-04-07,3,False
2024-04-14,3,False
2024-04-21,3,False
2024-04-28,3,False
2024-05-05,3,False
2024-05-12,4,False
2024-05-19,2,False
2024-05-26,2,False
2024-06-02,2,False
2024-06-09,2,False
2024-06-16,2,False
2024-06-23,2,False
2024-06-30,1,False
2024-07-07,2,False
2024-07-14,2,False
2024-07-21,2,False
2024-07-28,1,False
2024-08-04,1,False
2024-08-11,2,False
2024-08-18,2,False
2024-08-25,2,False
2024-09-01,3,False
2024-09-08,6,False
2024-09-15,4,False
2024-09-22,4,False
2024-09-29,3,False
2024-10-06,4,False
2024-10-13,4,False
2024-10-20,6,False
2024-10-27,7,False
2024-11-03,16,False
2024-11-10,12,False
2024-11-17,7,False
2024-11-24,13,False
2024-12-01,7,False
2024-12-08,6,False
2024-12-15,4,False
2024-12-22,2,False
2024-12-29,2,False
2025-01-05,4,False
2025-01-12,5,False
2025-01-19,8,False
2025-01-26,21,False
2025-02-02,40,False
2025-02-09,13,False
2025-02-16,8,False
2025-02-23,10,False
2025-03-02,35,False
2025-03-09,25,False
2025-03-16,10,False
2025-03-23,16,False
2025-03-30,88,False
2025-04-06,100,False
2025-04-13,36,False
2025-04-20,26,False
2025-04-27,32,False
2025-05-04,26,False
2025-05-11,23,False
2025-05-18,12,False
2025-05-25,14,False
2025-06-01,11,False
2025-06-08,10,False
2025-06-15,7,False
2025-06-22,7,False
2025-06-29,8,False
2025-07-06,17,False
2025-07-13,15,False
2025-07-20,23,False
2025-07-27,56,False
2025-08-03,25,False
2025-08-10,15,False
2025-08-17,10,False
2025-08-24,13,False
2025-08-31,12,False
2025-09-07,9,False
2025-09-14,9,False
2025-09-21,11,False
2025-09-28,11,False
2025-10-05,12,False
2025-10-12,13,False
2025-10-19,12,False
