date,trend_inflation,isPartial
2020-06-28,12,False
2020-07-05,13,False
2020-07-12,13,False
2020-07-19,13,False
2020-07-26,13,False
2020-08-02,13,False
2020-08-09,12,False
2020-08-16,12,False
2020-08-23,14,False
2020-08-30,14,False
2020-09-06,14,False
2020-09-13,16,False
2020-09-20,15,False
2020-09-27,15,False
2020-10-04,15,False
2020-10-11,14,False
2020-10-18,15,False
2020-10-25,14,False
2020-11-01,12,False
2020-11-08,14,False
2020-11-15,16,False
2020-11-22,12,False
2020-11-29,15,False
2020-12-06,18,False
2020-12-13,17,False
2020-12-20,12,False
2020-12-27,12,False
2021-01-03,14,False
2021-01-10,17,False
2021-01-17,17,False
2021-01-24,18,False
2021-01-31,17,False
2021-02-07,18,False
2021-02-14,19,False
2021-02-21,23,False
2021-02-28,24,False
2021-03-07,22,False
2021-03-14,20,False
2021-03-21,18,False
2021-03-28,18,False
2021-04-04,20,False
2021-04-11,20,False
2021-04-18,18,False
2021-04-25,21,False
2021-05-02,27,False
2021-05-09,42,False
2021-05-16,24,False
2021-05-23,23,False
2021-05-30,19,False
2021-06-06,27,False
2021-06-13,26,False
2021-06-20,19,False
2021-06-27,16,False
2021-07-04,16,False
2021-07-11,26,False
2021-07-18,19,False
2021-07-25,17,False
2021-08-01,16,False
2021-08-08,18,False
2021-08-15,16,False
2021-08-22,16,False
2021-08-29,15,False
2021-09-05,16,False
2021-09-12,20,False
2021-09-19,18,False
2021-09-26,20,False
2021-10-03,21,False
2021-10-10,27,False
2021-10-17,26,False
2021-10-24,28,False
2021-10-31,24,False
2021-11-07,46,False
2021-11-14,38,False
2021-11-21,24,False
2021-11-28,27,False
2021-12-05,36,False
2021-12-12,35,False
2021-12-19,23,False
2021-12-26,20,False
2022-01-02,25,False
2022-01-09,38,False
2022-01-16,29,False
2022-01-23,35,False
2022-01-30,29,False
2022-02-06,48,False
2022-02-13,41,False
2022-02-20,36,False
2022-02-27,39,False
2022-03-06,52,False
2022-03-13,42,False
2022-03-20,37,False
2022-03-27,39,False
2022-04-03,37,False
2022-04-10,56,False
2022-04-17,43,False
2022-04-24,42,False
2022-05-01,46,False
2022-05-08,62,False
2022-05-15,46,False
2022-05-22,38,False
2022-05-29,37,False
2022-06-05,64,False
2022-06-12,69,False
2022-06-19,43,False
2022-06-26,45,False
2022-07-03,38,False
2022-07-10,64,False
2022-07-17,36,False
2022-07-24,49,False
2022-07-31,50,False
2022-08-07,100,False
2022-08-14,70,False
2022-08-21,46,False
2022-08-28,38,False
2022-09-04,33,False
2022-09-11,59,False
2022-09-18,51,False
2022-09-25,47,False
2022-10-02,54,False
2022-10-09,62,False
2022-10-16,53,False
2022-10-23,51,False
2022-10-30,51,False
2022-11-06,51,False
2022-11-13,42,False
2022-11-20,31,False
2022-11-27,39,False
2022-12-04,39,False
2022-12-11,40,False
2022-12-18,29,False
2022-12-25,25,False
2023-01-01,30,False
2023-01-08,40,False
2023-01-15,33,False
2023-01-22,32,False
2023-01-29,33,False
2023-02-05,38,False
2023-02-12,40,False
2023-02-19,34,False
2023-02-26,34,False
2023-03-05,35,False
2023-03-12,36,False
2023-03-19,35,False
2023-03-26,34,False
2023-04-02,30,False
2023-04-09,40,False
2023-04-16,33,False
2023-04-23,35,False
2023-04-30,34,False
2023-05-07,35,False
2023-05-14,28,False
2023-05-21,26,False
2023-05-28,26,False
2023-06-04,23,False
2023-06-11,31,False
2023-06-18,24,False
2023-06-25,27,False
2023-07-02,25,False
2023-07-09,36,False
2023-07-16,26,False
2023-07-23,28,False
2023-07-30,25,False
2023-08-06,30,False
2023-08-13,28,False
2023-08-20,26,False
2023-08-27,30,False
2023-09-03,28,False
2023-09-10,36,False
2023-09-17,38,False
2023-09-24,31,False
2023-10-01,31,False
2023-10-08,33,False
2023-10-15,32,False
2023-10-22,31,False
2023-10-29,32,False
2023-11-05,31,False
2023-11-12,36,False
2023-11-19,26,False
2023-11-26,34,False
2023-12-03,36,False
2023-12-10,38,False
2023-12-17,28,False
2023-12-24,24,False
2023-12-31,24,False
2024-01-07,31,False
2024-01-14,27,False
2024-01-21,31,False
2024-01-28,31,False
2024-02-04,34,False
2024-02-11,39,False
2024-02-18,34,False
2024-02-25,37,False
2024-03-03,38,False
2024-03-10,38,False
2024-03-17,30,False
2024-03-24,30,False
2024-03-31,32,False
2024-04-07,44,False
2024-04-14,36,False
2024-04-21,36,False
2024-04-28,35,False
2024-05-05,34,False
2024-05-12,38,False
2024-05-19,31,False
2024-05-26,31,False
2024-06-02,29,False
2024-06-09,31,False
2024-06-16,26,False
2024-06-23,32,False
2024-06-30,24,False
