date,trend_tariff,isPartial
2016-10-30,19,False
2016-11-06,21,False
2016-11-13,23,False
2016-11-20,12,False
2016-11-27,21,False
2016-12-04,24,False
2016-12-11,21,False
2016-12-18,14,False
2016-12-25,6,False
2017-01-01,13,False
2017-01-08,19,False
2017-01-15,19,False
2017-01-22,32,False
2017-01-29,24,False
2017-02-05,20,False
2017-02-12,20,False
2017-02-19,20,False
2017-02-26,21,False
2017-03-05,20,False
2017-03-12,16,False
2017-03-19,18,False
2017-03-26,17,False
2017-04-02,17,False
2017-04-09,14,False
2017-04-16,15,False
2017-04-23,26,False
2017-04-30,20,False
2017-05-07,15,False
2017-05-14,12,False
2017-05-21,11,False
2017-05-28,9,False
2017-06-04,9,False
2017-06-11,7,False
2017-06-18,7,False
2017-06-25,7,False
2017-07-02,6,False
2017-07-09,7,False
2017-07-16,7,False
2017-07-23,7,False
2017-07-30,7,False
2017-08-06,6,False
2017-08-13,10,False
2017-08-20,10,False
2017-08-27,10,False
2017-09-03,9,False
2017-09-10,11,False
2017-09-17,14,False
2017-09-24,16,False
2017-10-01,15,False
2017-10-08,16,False
2017-10-15,18,False
2017-10-22,19,False
2017-10-29,21,False
2017-11-05,20,False
2017-11-12,22,False
2017-11-19,10,False
2017-11-26,20,False
2017-12-03,21,False
2017-12-10,21,False
2017-12-17,13,False
2017-12-24,4,False
2017-12-31,9,False
2018-01-07,17,False
2018-01-14,15,False
2018-01-21,52,False
2018-01-28,23,False
2018-02-04,22,False
2018-02-11,20,False
2018-02-18,18,False
2018-02-25,60,False
2018-03-04,100,False
2018-03-11,32,False
2018-03-18,44,False
2018-03-25,24,False
2018-04-01,64,False
2018-04-08,30,False
2018-04-15,22,False
2018-04-22,20,False
2018-04-29,23,False
2018-05-06,20,False
2018-05-13,15,False
2018-05-20,15,False
2018-05-27,29,False
2018-06-03,31,False
2018-06-10,47,False
2018-06-17,34,False
2018-06-24,29,False
2018-07-01,36,False
2018-07-08,31,False
2018-07-15,21,False
2018-07-22,30,False
2018-07-29,22,False
2018-08-05,22,False
2018-08-12,22,False
2018-08-19,21,False
2018-08-26,20,False
2018-09-02,23,False
2018-09-09,25,False
2018-09-16,37,False
2018-09-23,29,False
2018-09-30,25,False
2018-10-07,26,False
2018-10-14,25,False
2018-10-21,25,False
2018-10-28,25,False
2018-11-04,24,False
2018-11-11,26,False
2018-11-18,13,False
2018-11-25,29,False
2018-12-02,40,False
2018-12-09,26,False
2018-12-16,20,False
2018-12-23,8,False
2018-12-30,12,False
2019-01-06,21,False
2019-01-13,21,False
2019-01-20,20,False
2019-01-27,19,False
2019-02-03,21,False
2019-02-10,23,False
2019-02-17,20,False
2019-02-24,24,False
2019-03-03,23,False
2019-03-10,19,False
2019-03-17,18,False
2019-03-24,17,False
2019-03-31,20,False
2019-04-07,18,False
2019-04-14,15,False
2019-04-21,15,False
2019-04-28,18,False
2019-05-05,59,False
2019-05-12,59,False
2019-05-19,27,False
2019-05-26,39,False
2019-06-02,48,False
2019-06-09,24,False
2019-06-16,16,False
2019-06-23,15,False
2019-06-30,12,False
2019-07-07,11,False
2019-07-14,10,False
2019-07-21,9,False
2019-07-28,17,False
2019-08-04,16,False
2019-08-11,19,False
2019-08-18,25,False
2019-08-25,26,False
2019-09-01,21,False
2019-09-08,20,False
2019-09-15,20,False
2019-09-22,19,False
2019-09-29,23,False
2019-10-06,23,False
2019-10-13,21,False
2019-10-20,21,False
2019-10-27,20,False
2019-11-03,23,False
2019-11-10,20,False
2019-11-17,22,False
2019-11-24,11,False
2019-12-01,23,False
2019-12-08,24,False
2019-12-15,20,False
2019-12-22,8,False
2019-12-29,8,False
2020-01-05,19,False
2020-01-12,24,False
2020-01-19,18,False
2020-01-26,18,False
2020-02-02,21,False
2020-02-09,21,False
2020-02-16,18,False
2020-02-23,20,False
2020-03-01,18,False
2020-03-08,16,False
2020-03-15,12,False
2020-03-22,14,False
2020-03-29,15,False
2020-04-05,15,False
2020-04-12,14,False
2020-04-19,15,False
2020-04-26,15,False
2020-05-03,15,False
2020-05-10,14,False
2020-05-17,10,False
2020-05-24,8,False
2020-05-31,8,False
2020-06-07,8,False
2020-06-14,8,False
2020-06-21,9,False
2020-06-28,8,False
2020-07-05,8,False
2020-07-12,8,False
2020-07-19,8,False
2020-07-26,7,False
2020-08-02,8,False
2020-08-09,7,False
2020-08-16,8,False
2020-08-23,9,False
2020-08-30,9,False
2020-09-06,10,False
2020-09-13,13,False
2020-09-20,14,False
2020-09-27,13,False
2020-10-04,15,False
2020-10-11,12,False
2020-10-18,14,False
2020-10-25,14,False
2020-11-01,13,False
2020-11-08,14,False
2020-11-15,15,False
2020-11-22,8,False
2020-11-29,15,False
2020-12-06,15,False
2020-12-13,13,False
2020-12-20,5,False
2020-12-27,5,False
