date,trend_war,isPartial
2016-10-30,26,False
2016-11-06,26,False
2016-11-13,26,False
2016-11-20,24,False
2016-11-27,27,False
2016-12-04,29,False
2016-12-11,28,False
2016-12-18,22,False
2016-12-25,22,False
2017-01-01,23,False
2017-01-08,26,False
2017-01-15,25,False
2017-01-22,26,False
2017-01-29,27,False
2017-02-05,27,False
2017-02-12,25,False
2017-02-19,26,False
2017-02-26,27,False
2017-03-05,27,False
2017-03-12,25,False
2017-03-19,26,False
2017-03-26,26,False
2017-04-02,33,False
2017-04-09,36,False
2017-04-16,32,False
2017-04-23,36,False
2017-04-30,35,False
2017-05-07,31,False
2017-05-14,28,False
2017-05-21,27,False
2017-05-28,26,False
2017-06-04,24,False
2017-06-11,20,False
2017-06-18,20,False
2017-06-25,19,False
2017-07-02,21,False
2017-07-09,23,False
2017-07-16,25,False
2017-07-23,24,False
2017-07-30,22,False
2017-08-06,25,False
2017-08-13,26,False
2017-08-20,21,False
2017-08-27,20,False
2017-09-03,21,False
2017-09-10,21,False
2017-09-17,24,False
2017-09-24,28,False
2017-10-01,25,False
2017-10-08,28,False
2017-10-15,26,False
2017-10-22,26,False
2017-10-29,26,False
2017-11-05,30,False
2017-11-12,27,False
2017-11-19,23,False
2017-11-26,35,False
2017-12-03,29,False
2017-12-10,27,False
2017-12-17,23,False
2017-12-24,19,False
2017-12-31,20,False
2018-01-07,24,False
2018-01-14,23,False
2018-01-21,25,False
2018-01-28,25,False
2018-02-04,24,False
2018-02-11,27,False
2018-02-18,26,False
2018-02-25,30,False
2018-03-04,29,False
2018-03-11,33,False
2018-03-18,32,False
2018-03-25,27,False
2018-04-01,31,False
2018-04-08,39,False
2018-04-15,47,False
2018-04-22,97,False
2018-04-29,100,False
2018-05-06,65,False
2018-05-13,47,False
2018-05-20,39,False
2018-05-27,34,False
2018-06-03,28,False
2018-06-10,28,False
2018-06-17,22,False
2018-06-24,23,False
2018-07-01,23,False
2018-07-08,23,False
2018-07-15,21,False
2018-07-22,21,False
2018-07-29,25,False
2018-08-05,23,False
2018-08-12,25,False
2018-08-19,22,False
2018-08-26,22,False
2018-09-02,22,False
2018-09-09,21,False
2018-09-16,23,False
2018-09-23,22,False
2018-09-30,21,False
2018-10-07,22,False
2018-10-14,22,False
2018-10-21,23,False
2018-10-28,22,False
2018-11-04,24,False
2018-11-11,26,False
2018-11-18,21,False
2018-11-25,25,False
2018-12-02,28,False
2018-12-09,26,False
2018-12-16,23,False
2018-12-23,22,False
2018-12-30,23,False
2019-01-06,24,False
2019-01-13,24,False
2019-01-20,24,False
2019-01-27,24,False
2019-02-03,24,False
2019-02-10,25,False
2019-02-17,24,False
2019-02-24,26,False
2019-03-03,25,False
2019-03-10,25,False
2019-03-17,24,False
2019-03-24,25,False
2019-03-31,29,False
2019-04-07,29,False
2019-04-14,28,False
2019-04-21,33,False
2019-04-28,36,False
2019-05-05,32,False
2019-05-12,33,False
2019-05-19,28,False
2019-05-26,26,False
2019-06-02,22,False
2019-06-09,19,False
2019-06-16,18,False
2019-06-23,17,False
2019-06-30,18,False
2019-07-07,16,False
2019-07-14,16,False
2019-07-21,15,False
2019-07-28,15,False
2019-08-04,16,False
2019-08-11,15,False
2019-08-18,18,False
2019-08-25,18,False
2019-09-01,19,False
2019-09-08,19,False
2019-09-15,20,False
2019-09-22,20,False
2019-09-29,22,False
2019-10-06,22,False
2019-10-13,21,False
2019-10-20,23,False
2019-10-27,23,False
2019-11-03,22,False
2019-11-10,23,False
2019-11-17,24,False
2019-11-24,19,False
2019-12-01,23,False
2019-12-08,23,False
2019-12-15,21,False
2019-12-22,17,False
2019-12-29,42,False
2020-01-05,41,False
2020-01-12,23,False
2020-01-19,21,False
2020-01-26,22,False
2020-02-02,22,False
2020-02-09,23,False
2020-02-16,22,False
2020-02-23,23,False
2020-03-01,22,False
2020-03-08,22,False
2020-03-15,20,False
2020-03-22,24,False
2020-03-29,28,False
2020-04-05,27,False
2020-04-12,26,False
2020-04-19,26,False
2020-04-26,28,False
2020-05-03,29,False
2020-05-10,28,False
2020-05-17,25,False
2020-05-24,25,False
2020-05-31,23,False
2020-06-07,21,False
2020-06-14,21,False
2020-06-21,19,False
2020-06-28,19,False
2020-07-05,18,False
2020-07-12,17,False
2020-07-19,17,False
2020-07-26,17,False
2020-08-02,16,False
2020-08-09,16,False
2020-08-16,18,False
2020-08-23,22,False
2020-08-30,20,False
2020-09-06,23,False
2020-09-13,26,False
2020-09-20,22,False
2020-09-27,23,False
2020-10-04,24,False
2020-10-11,25,False
2020-10-18,23,False
2020-10-25,21,False
2020-11-01,21,False
2020-11-08,40,False
2020-11-15,46,False
2020-11-22,32,False
2020-11-29,30,False
2020-12-06,30,False
2020-12-13,30,False
2020-12-20,26,False
2020-12-27,26,False
