date,trend_war,isPartial
2020-06-28,32,False
2020-07-05,31,False
2020-07-12,28,False
2020-07-19,29,False
2020-07-26,28,False
2020-08-02,27,False
2020-08-09,28,False
2020-08-16,30,False
2020-08-23,37,False
2020-08-30,35,False
2020-09-06,38,False
2020-09-13,44,False
2020-09-20,38,False
2020-09-27,39,False
2020-10-04,40,False
2020-10-11,42,False
2020-10-18,38,False
2020-10-25,36,False
2020-11-01,35,False
2020-11-08,68,False
2020-11-15,78,False
2020-11-22,55,False
2020-11-29,50,False
2020-12-06,51,False
2020-12-13,51,False
2020-12-20,44,False
2020-12-27,44,False
2021-01-03,45,False
2021-01-10,45,False
2021-01-17,42,False
2021-01-24,39,False
2021-01-31,40,False
2021-02-07,44,False
2021-02-14,42,False
2021-02-21,48,False
2021-02-28,44,False
2021-03-07,40,False
2021-03-14,38,False
2021-03-21,38,False
2021-03-28,35,False
2021-04-04,36,False
2021-04-11,39,False
2021-04-18,41,False
2021-04-25,39,False
2021-05-02,38,False
2021-05-09,40,False
2021-05-16,38,False
2021-05-23,35,False
2021-05-30,37,False
2021-06-06,32,False
2021-06-13,31,False
2021-06-20,29,False
2021-06-27,34,False
2021-07-04,43,False
2021-07-11,33,False
2021-07-18,31,False
2021-07-25,29,False
2021-08-01,27,False
2021-08-08,28,False
2021-08-15,32,False
2021-08-22,28,False
2021-08-29,30,False
2021-09-05,31,False
2021-09-12,30,False
2021-09-19,31,False
2021-09-26,29,False
2021-10-03,29,False
2021-10-10,27,False
2021-10-17,32,False
2021-10-24,30,False
2021-10-31,29,False
2021-11-07,32,False
2021-11-14,29,False
2021-11-21,26,False
2021-11-28,29,False
2021-12-05,31,False
2021-12-12,31,False
2021-12-19,27,False
2021-12-26,28,False
2022-01-02,30,False
2022-01-09,35,False
2022-01-16,33,False
2022-01-23,43,False
2022-01-30,39,False
2022-02-06,40,False
2022-02-13,44,False
2022-02-20,100,False
2022-02-27,91,False
2022-03-06,69,False
2022-03-13,56,False
2022-03-20,57,False
2022-03-27,59,False
2022-04-03,60,False
2022-04-10,52,False
2022-04-17,55,False
2022-04-24,59,False
2022-05-01,59,False
2022-05-08,57,False
2022-05-15,49,False
2022-05-22,47,False
2022-05-29,42,False
2022-06-05,39,False
2022-06-12,36,False
2022-06-19,32,False
2022-06-26,34,False
2022-07-03,37,False
2022-07-10,34,False
2022-07-17,33,False
2022-07-24,33,False
2022-07-31,33,False
2022-08-07,32,False
2022-08-14,33,False
2022-08-21,33,False
2022-08-28,35,False
2022-09-04,37,False
2022-09-11,40,False
2022-09-18,42,False
2022-09-25,41,False
2022-10-02,44,False
2022-10-09,43,False
2022-10-16,42,False
2022-10-23,45,False
2022-10-30,49,False
2022-11-06,71,False
2022-11-13,71,False
2022-11-20,56,False
2022-11-27,55,False
2022-12-04,58,False
2022-12-11,56,False
2022-12-18,45,False
2022-12-25,42,False
2023-01-01,42,False
2023-01-08,46,False
2023-01-15,45,False
2023-01-22,49,False
2023-01-29,51,False
2023-02-05,47,False
2023-02-12,48,False
2023-02-19,50,False
2023-02-26,49,False
2023-03-05,49,False
2023-03-12,46,False
2023-03-19,49,False
2023-03-26,46,False
2023-04-02,45,False
2023-04-09,46,False
2023-04-16,49,False
2023-04-23,47,False
2023-04-30,51,False
2023-05-07,49,False
2023-05-14,48,False
2023-05-21,43,False
2023-05-28,38,False
2023-06-04,34,False
2023-06-11,33,False
2023-06-18,35,False
2023-06-25,32,False
2023-07-02,36,False
2023-07-09,33,False
2023-07-16,31,False
2023-07-23,31,False
2023-07-30,30,False
2023-08-06,30,False
2023-08-13,30,False
2023-08-20,32,False
2023-08-27,34,False
2023-09-03,35,False
2023-09-10,36,False
2023-09-17,37,False
2023-09-24,38,False
2023-10-01,42,False
2023-10-08,83,False
2023-10-15,61,False
2023-10-22,51,False
2023-10-29,46,False
2023-11-05,50,False
2023-11-12,47,False
2023-11-19,37,False
2023-11-26,44,False
2023-12-03,46,False
2023-12-10,50,False
2023-12-17,40,False
2023-12-24,41,False
2023-12-31,40,False
2024-01-07,44,False
2024-01-14,43,False
2024-01-21,47,False
2024-01-28,46,False
2024-02-04,47,False
2024-02-11,46,False
2024-02-18,46,False
2024-02-25,48,False
2024-03-03,47,False
2024-03-10,46,False
2024-03-17,46,False
2024-03-24,44,False
2024-03-31,46,False
2024-04-07,61,False
2024-04-14,69,False
2024-04-21,58,False
2024-04-28,54,False
2024-05-05,56,False
2024-05-12,54,False
2024-05-19,47,False
2024-05-26,48,False
2024-06-02,41,False
2024-06-09,40,False
2024-06-16,38,False
2024-06-23,35,False
2024-06-30,36,False
